,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
D2,GPIOF0/AD9,AVCC,GPIOF0,AD9,,,,,,,PIO,,,,,,GIRQ8,11,##,,PD_PRSNT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,GIO0,4,PD_SOURCE_PRSNT_Handler,J6,15,GPIO33_7,,"To notify EC that PD power source is present, low active"
G3,GPIOF1/AD8,AVCC,GPIOF1,AD8,,,,,,,I,,,,,,,,##,,EC_LOM_AUX_RST#,PWRSEQ,GPIO,,O_0,,PWR_OFF,000008h/00000Ch,,,,GIO3,1,,J6,5,GPIO33_2,,"LOM AUX Reset, low active"
F6,GPIOF2/I2C4_SDA1,VCIO,GPIOF2,I2C4_SDA1,,,,,,,PIO,,,,,,GIRQ9,17,##,,EC_UDC_UART_INT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,,,UART0_INTn_EC_UDC_Handler,J4,18,GPIO33_24,,UART0 interrupt from EC to UDC
F5,GPIOF3/I2C4_SCL1,VCIO,GPIOF3,I2C4_SCL1,,,,,,,PIO,,,,,,GIRQ9,4,##,,PD0_EC_USBC_INT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,,,USBC1_I2C_INT_Handler,J4,17,GPIO33_14,,"To notify EC, USB PD controller0 need service from EC"
E9,GPIOF4/I2C5_SDA1/I3C3_SDA,VHIF,GPIOF4,I2C5_SDA1,I3C3_SDA,,,,,,VBAT,,,,,,,,##,,APU_EC_RESET#,PWRSEQ,GPIO,PU,,BOTH_EDGE,,,,,,,,LPC_RST_Handler,J3,1,,,"APU to reset eSPI slave, low active"
E8,GPIOF5/I2C5_SCL1/I3C3_SCL,VHIF,GPIOF5,I2C5_SCL1,I3C3_SCL,,,,,,PIO,,,,,,GIRQ11,29,##,,GPIOF5,,,,,,,,,,,,,,,,,,
A2,KSI0/GPIO31/AD15/TRACEDATA3/GP_MOSI,VCC1,KSI0,GPIO31,AD15,TRACEDATA3,GP_MOSI,,KSI0,,PIO,,,,,,GIRQ10,18,##,,SMSC_KSI_0,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,2,,,Keyboard Scan Matrix Input
A3,KSI1/GPIO30/AD25/TRACEDATA2/GP_CS#,VCC1,KSI1,GPIO30,AD25,TRACEDATA2,GP_CS#,,KSI1,,ANA,,,,,,,,##,,SMSC_KSI_1,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,4,,,Keyboard Scan Matrix Input
A4,KSI2/GPIO27/TRACEDATA21/AD14,VCC1,KSI2,GPIO27,TRACEDATA21,AD14,,,KSI2,O2ma-Low,PIO,,,,,,GIRQ9,1,##,,SMSC_KSI_2,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,6,,,Keyboard Scan Matrix Input
B3,KSI3/GPIO26/AD13/TRACEDATA0,VCC1,KSI3,GPIO26,AD13,TRACEDATA0,,,KSI3,,PIO,,,,,,GIRQ11,27,##,,SMSC_KSI_3,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,8,,,Keyboard Scan Matrix Input
